Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,,
2022-01-03 00:00:00+00:00,1094.27001953125,1109.3763427734375,1111.2685546875,1090.7779541015625,1091.4471435546875,5421611
2022-01-04 00:00:00+00:00,1118.9654541015625,1134.4127197265625,1135.7510986328125,1109.445556640625,1114.9375,10847728
2022-01-05 00:00:00+00:00,1124.200439453125,1139.719970703125,1143.1351318359375,1122.8060302734375,1136.212646484375,11643813
2022-01-06 00:00:00+00:00,1100.0284423828125,1115.21435546875,1132.5206298828125,1111.7530517578125,1131.2283935546875,14447422
2022-01-07 00:00:00+00:00,1108.9052734375,1124.213623046875,1134.3896484375,1112.929931640625,1121.883056640625,13112115
2022-01-10 00:00:00+00:00,1109.8155517578125,1125.1365966796875,1133.9051513671875,1115.0067138671875,1131.59765625,9246731
2022-01-11 00:00:00+00:00,1117.8046875,1133.2359619140625,1142.18896484375,1123.7520751953125,1124.213623046875,16205164
2022-01-12 00:00:00+00:00,1147.643798828125,1163.4871826171875,1165.2640380859375,1137.5970458984375,1140.5045166015625,14800442
2022-01-13 00:00:00+00:00,1154.1080322265625,1170.04052734375,1172.671142578125,1157.626220703125,1163.5565185546875,11856712
2022-01-14 00:00:00+00:00,1155.792236328125,1171.748046875,1184.8084716796875,1165.6793212890625,1169.902099609375,19930176
2022-01-17 00:00:00+00:00,1161.8238525390625,1177.8629150390625,1183.7470703125,1170.8250732421875,1171.28662109375,8036453
2022-01-18 00:00:00+00:00,1147.962646484375,1163.810302734375,1182.5240478515625,1161.0181884765625,1179.0167236328125,6215029
2022-01-19 00:00:00+00:00,1147.87158203125,1163.718017578125,1173.132568359375,1157.903076171875,1167.5946044921875,9755485
2022-01-20 00:00:00+00:00,1127.7738037109375,1143.3427734375,1158.341552734375,1132.9820556640625,1153.772705078125,16494486
2022-01-21 00:00:00+00:00,1127.955810546875,1143.52734375,1154.7879638671875,1131.59765625,1131.59765625,13338594
2022-01-24 00:00:00+00:00,1082.457275390625,1097.4005126953125,1155.9417724609375,1086.8782958984375,1142.2120361328125,21868937
2022-01-25 00:00:00+00:00,1080.34033203125,1095.2545166015625,1102.361572265625,1063.757080078125,1084.31689453125,24510205
2022-01-27 00:00:00+00:00,1064.339599609375,1079.03271484375,1087.3397216796875,1066.5491943359375,1078.0635986328125,20020431
2022-01-28 00:00:00+00:00,1063.315185546875,1077.994384765625,1096.4774169921875,1074.5562744140625,1091.4471435546875,14667727
2022-01-31 00:00:00+00:00,1086.41748046875,1101.41552734375,1110.55322265625,1087.3858642578125,1089.23193359375,12143683
2022-02-01 00:00:00+00:00,1082.8212890625,1097.7696533203125,1117.1064453125,1083.186279296875,1111.2916259765625,13200509
2022-02-02 00:00:00+00:00,1085.029052734375,1100.0079345703125,1110.830078125,1096.1082763671875,1110.830078125,10017691
2022-02-03 00:00:00+00:00,1071.0084228515625,1085.793701171875,1108.268798828125,1083.232421875,1103.9075927734375,9572839
2022-02-04 00:00:00+00:00,1061.244140625,1075.89453125,1083.809326171875,1071.187255859375,1080.37109375,11061241
2022-02-07 00:00:00+00:00,1054.780029296875,1069.34130859375,1087.662841796875,1063.757080078125,1080.8326416015625,10714467
2022-02-08 00:00:00+00:00,1072.5106201171875,1087.316650390625,1089.1396484375,1066.0645751953125,1075.5946044921875,12060849
2022-02-09 00:00:00+00:00,1085.0062255859375,1099.98486328125,1101.6923828125,1088.2166748046875,1094.2852783203125,11486225
2022-02-10 00:00:00+00:00,1083.8909912109375,1098.854248046875,1105.6151123046875,1091.4932861328125,1105.6151123046875,12464491
2022-02-11 00:00:00+00:00,1081.7744140625,1096.708251953125,1100.4464111328125,1081.8017578125,1095.2545166015625,15943370
2022-02-14 00:00:00+00:00,1064.54443359375,1079.240478515625,1086.80908203125,1067.4490966796875,1080.0250244140625,10719633
2022-02-15 00:00:00+00:00,1100.6884765625,1115.883544921875,1118.6295166015625,1077.9251708984375,1085.078369140625,11212671
2022-02-16 00:00:00+00:00,1098.412353515625,1113.5760498046875,1122.8291015625,1105.7305908203125,1121.444580078125,10392840
2022-02-17 00:00:00+00:00,1112.3192138671875,1127.6748046875,1132.9359130859375,1112.214599609375,1116.875732421875,12853252
2022-02-18 00:00:00+00:00,1103.6246337890625,1118.8602294921875,1133.628173828125,1116.8988037109375,1128.0902099609375,6775458
